datetime,overall_sentiment_score,relevance_score,ticker_sentiment_score,affected_topic_relevance_score,distinct_news_count
2024-06-25 09:00:00,0.214,0.4061,0.1683,0.4788,1
2024-06-25 11:00:00,0.22,0.2208,0.1554,0.3727,1
2024-06-25 12:00:00,0.133,0.1476,0.1281,0.4832,6
2024-06-25 15:00:00,0.149,0.1139,0.1174,0.5415,1
2024-06-25 17:00:00,0.1325,0.1851,0.069,0.4562,4
2024-06-25 20:00:00,0.1272,0.1317,0.101,0.3558,2
2024-06-26 00:00:00,0.2325,0.0589,-0.025,0.5759,1
2024-06-26 01:00:00,0.1299,0.1882,-0.0322,0.5683,1
2024-06-26 08:00:00,0.179,0.1912,0.1405,0.3531,1
2024-06-26 09:00:00,-0.0052,0.169,0.1978,0.5892,2
2024-06-26 10:00:00,0.0918,0.5197,0.0757,0.5122,1
2024-06-26 11:00:00,0.177,0.2159,0.2069,0.3759,1
2024-06-26 12:00:00,0.0697,0.1067,0.1266,0.5127,4
2024-06-26 13:00:00,0.0584,0.1653,0.081,0.5282,5
2024-06-26 14:00:00,0.1509,0.2867,0.1411,0.6534,5
2024-06-26 15:00:00,0.0748,0.2366,0.1114,0.5411,1
2024-06-26 16:00:00,0.4161,0.4535,0.5324,0.3813,1
2024-06-26 17:00:00,0.2085,0.1045,0.0368,0.5233,2
2024-06-26 19:00:00,0.1803,0.1974,0.1102,0.5508,1
2024-06-26 20:00:00,-0.14,0.3386,-0.2642,0.8627,1
2024-06-26 21:00:00,0.0956,0.0664,-0.0291,0.4369,1
2024-06-27 01:00:00,0.1202,0.1982,0.0,0.6136,1
2024-06-27 06:00:00,-0.1663,0.0578,0.162,0.5662,1
2024-06-27 08:00:00,0.1339,0.0618,0.2062,0.3505,1
2024-06-27 10:00:00,0.2911,0.3829,0.1882,0.3548,1
2024-06-27 11:00:00,0.0219,0.0922,-0.1495,0.5779,1
2024-06-27 13:00:00,-0.0004,0.1489,-0.0751,0.591,2
2024-06-27 15:00:00,0.2643,0.1181,0.1987,0.4966,2
2024-06-27 16:00:00,0.039,0.1713,0.2253,0.5199,1
2024-06-27 17:00:00,0.3175,0.0913,-0.232,0.4198,1
2024-06-27 19:00:00,0.1768,0.1255,0.0637,0.4855,2
2024-06-27 20:00:00,0.0411,0.2405,0.0177,0.6354,3
2024-06-28 07:00:00,0.1984,0.2601,0.1178,0.6667,2
2024-06-28 09:00:00,0.2099,0.4247,0.2457,0.5109,3
2024-06-28 10:00:00,0.2362,0.1879,0.2192,0.4415,4
2024-06-28 11:00:00,0.2566,0.1294,-0.0217,0.4536,4
2024-06-28 12:00:00,0.3024,0.0666,0.1556,0.6491,2
2024-06-28 13:00:00,0.1783,0.1013,0.0557,0.6142,4
2024-06-28 14:00:00,0.2407,0.168,0.1966,0.5489,6
2024-06-28 15:00:00,0.2545,0.2094,0.2257,0.3808,4
2024-06-28 16:00:00,0.1948,0.0545,0.1012,0.585,2
2024-06-28 17:00:00,0.2519,0.3643,0.2966,0.6849,3
2024-06-28 18:00:00,0.144,0.1734,0.0863,0.4598,1
2024-06-28 19:00:00,0.3602,0.1277,0.177,0.6195,2
2024-06-28 20:00:00,0.005,0.1673,-0.2814,0.3524,1
2024-06-28 21:00:00,0.3106,0.1092,0.1131,0.3569,2
2024-06-28 22:00:00,0.1642,0.2336,-0.0904,0.3862,1
2024-06-28 23:00:00,0.2463,0.1306,0.2247,0.4197,1
2024-06-29 07:00:00,0.2922,0.3812,0.248,0.7944,3
2024-06-29 08:00:00,0.258,0.5453,0.268,0.5723,4
2024-06-29 09:00:00,0.2495,0.1953,0.1292,0.6204,3
2024-06-29 10:00:00,0.1476,0.3326,0.0458,0.5166,4
2024-06-29 11:00:00,0.1283,0.5571,0.099,0.6207,1
2024-06-29 12:00:00,0.135,0.0983,0.1869,0.5744,1
2024-06-29 13:00:00,0.0682,0.1716,0.2924,0.3849,2
2024-06-29 14:00:00,0.3432,0.519,0.3881,0.537,2
2024-06-29 16:00:00,-0.1122,0.0881,-0.0231,0.3292,1
2024-06-29 17:00:00,0.2221,0.1128,0.0639,0.5779,1
2024-06-29 22:00:00,-0.0547,0.024,0.073,0.4285,1
2024-07-01 12:00:00,0.1156,0.0204,-0.2031,0.4242,1
2024-07-01 14:00:00,0.1751,0.0657,0.0891,0.4212,1
2024-07-02 01:00:00,0.1965,0.0919,0.027,0.3811,1
2024-07-02 05:00:00,0.1657,0.1596,0.2625,0.4759,1
2024-07-02 14:00:00,0.1703,0.1031,0.2081,0.4937,2
2024-07-04 01:00:00,0.1935,0.083,0.0277,0.7182,1
2024-07-04 08:00:00,0.1922,0.1361,0.0127,0.5106,1
2024-07-05 11:00:00,0.0934,0.0276,0.1024,0.549,3
2024-07-07 19:00:00,0.1347,0.0561,0.0719,0.3862,1
2024-07-09 04:00:00,0.1899,0.1785,0.4038,0.4821,1
2024-07-10 01:00:00,0.2043,0.0608,0.0291,0.5724,1
2024-07-10 11:00:00,0.1625,0.227,-0.0216,0.4888,1
2024-07-11 10:00:00,0.1908,0.0919,-0.0214,0.5996,1
2024-07-11 11:00:00,0.0387,0.0846,-0.0709,0.3152,1
2024-07-12 11:00:00,-0.094,0.0856,-0.1503,0.5587,1
2024-07-15 04:00:00,-0.0486,0.4462,0.2157,0.4193,1
2024-07-15 10:00:00,-0.0391,0.1085,-0.0782,0.4888,1
2024-07-16 12:00:00,0.1087,0.0222,-0.2049,0.3394,1
